"cluster","Water.temperature...C.","pH","Alkalinity..µ.equ.l.1.","Suspended.solids......mg.l.1.","phosphorus..µg.l.1.P.","Ammonium..mg.l.1.NH4.","Dissolved.silicon..mg.l.1.Si.","Chlorophyll.a..µg.l.1.","Dissolved.fluoride..mg.l.1.","Dissolved.chloride..mg.l.1.","Dissolved.nitrate......mg.l.1.NO3.","Dissolved.sulphate.....mg.l.1.SO4.","Dissolved.sodium..mg.l.1.","Dissolved.potassium..mg.l.1.","Dissolved.calcium...........mg.l.1.","Dissolved.magnesium..mg.l.1.","Dissolved.boron....µg.l.1."
1,11.32375,7.9425,4116.0875,9.82125,140.325,0.0575,4.69125,4.8025,0.11875,25.72125,25.86,30.30125,14.42625,2.8175,100.04625,3.9,28.895
2,12.2,7.94181818181818,4087.61454545455,11.6618181818182,235.226363636364,0.0672727272727273,4.67363636363636,13.2636363636364,0.161818181818182,45.9427272727273,27.4963636363636,56.5290909090909,30.0272727272727,6,104.166363636364,5.08,59.9963636363636
3,11.8366666666667,7.69,3672.02666666667,10.9333333333333,633.526666666667,0.17,5.34,8.12666666666667,0.19,70.6266666666667,50.8266666666667,88.1833333333333,52.85,11.24,104.753333333333,7.15,94.3133333333333
